sqft_living,price
1340,313000.0
3650,2384000.0
1930,342000.0
2000,420000.0
1940,550000.0
880,490000.0
1350,335000.0
2710,482000.0
2430,452500.0
1520,640000.0
1710,463000.0
2920,1400000.0
2330,588500.0
1090,365000.0
2910,1200000.0
1200,242500.0
1570,419000.0
3110,367500.0
1370,257950.0
1180,275000.0
2240,750000.0
1450,435000.0
1750,626000.0
2730,612500.0
1600,495000.0
2090,285000.0
2360,615000.0
2200,698000.0
2820,675000.0
2600,790000.0
1560,382500.0
2860,499950.0
1820,650000.0
2820,625000.0
3630,400000.0
3240,604000.0
800,440000.0
1850,287200.0
1960,403000.0
2390,750000.0
1580,335000.0
1480,260000.0
850,308500.0
1770,439950.0
1210,235000.0
1160,315000.0
1970,437500.0
1930,407500.0
1270,445700.0
3310,838000.0
2710,630000.0
2910,550000.0
2710,805000.0
1800,284000.0
2210,470000.0
1920,430000.0
2190,491500.0
3660,785000.0
1320,385000.0
1630,295000.0
3310,555000.0
2680,459990.0
2730,625000.0
2540,300000.0
2920,625000.0
900,553000.0
1650,379880.0
1010,310000.0
2680,775000.0
2200,365000.0
2530,331950.0
2850,783500.0
2280,628000.0
1900,560000.0
1330,900000.0
1270,531000.0
2170,831000.0
2730,780000.0
2120,755000.0
2490,705380.0
1990,627000.0
3690,865000.0
2540,580000.0
1800,410000.0
2340,485000.0
2110,400000.0
1140,549000.0
1480,620000.0
1410,405000.0
1200,232000.0
3180,800866.0
2160,650000.0
2920,823000.0
2350,770000.0
1560,524000.0
2740,541125.0
1680,670000.0
3090,384900.0
1410,406100.0
4010,1395000.0
3180,736500.0
2010,570000.0
1330,787000.0
2370,328000.0
1840,435000.0
2910,499000.0
2070,501000.0
4340,1090000.0
840,400000.0
1240,220000.0
1390,657100.0
2310,309950.0
1050,300000.0
2550,525888.0
2010,740000.0
1120,340000.0
2230,398750.0
810,206000.0
3190,1030000.0
1670,600000.0
1970,379950.0
1450,287000.0
13540,2280000.0
1880,309950.0
1880,600000.0
1410,418000.0
1480,449250.0
1140,329950.0
1920,245000.0
2910,549000.0
3240,800000.0
1550,249950.0
2050,210000.0
2220,1425000.0
1770,585000.0
2300,615000.0
1800,618500.0
2010,487585.0
1790,509900.0
2440,631625.0
1940,555000.0
1160,340000.0
3400,830000.0
4420,890000.0
1571,366750.0
1620,415000.0
1408,416286.0
3040,478000.0
4490,890000.0
1590,419190.0
2450,712198.0
1440,397000.0
1100,450000.0
1350,353000.0
2150,609000.0
1490,234000.0
2000,561000.0
1030,469000.0
720,329350.0
2020,488000.0
1580,279900.0
2110,606000.0
1300,312000.0
1630,650000.0
3370,1135000.0
1890,325000.0
1520,425000.0
900,219000.0
1050,250000.0
1260,390000.0
3470,475000.0
2290,736000.0
2810,407000.0
1650,272000.0
1640,362000.0
1850,535000.0
2000,284000.0
1410,367500.0
1500,379900.0
2460,520000.0
1010,175000.0
1230,460000.0
2331,345000.0
2240,455000.0
2450,610000.0
3100,563000.0
2060,612500.0
1850,218000.0
1840,404000.0
3740,860000.0
1420,136500.0
1510,313950.0
2130,575000.0
3490,1225000.0
1630,280000.0
1790,515000.0
2000,513000.0
2260,599000.0
3030,685000.0
1310,365000.0
3880,762300.0
3760,1580000.0
3040,562000.0
2910,530000.0
2970,525000.0
1660,484000.0
3200,725126.0
2680,360000.0
1230,387000.0
2740,483500.0
3380,655500.0
1110,345000.0
1800,533000.0
1900,385000.0
930,675000.0
1690,197000.0
1420,485000.0
4510,1870000.0
1980,295000.0
1170,499000.0
2200,1050000.0
800,191000.0
1480,500000.0
2890,390000.0
2690,979000.0
3569,580000.0
1270,369950.0
4490,1800000.0
3040,776000.0
1170,519950.0
2060,255000.0
990,495000.0
2430,510000.0
4460,1150000.0
1250,253000.0
1540,503000.0
1600,275000.0
1110,249000.0
1840,310000.0
2520,750000.0
2680,630000.0
3830,599999.0
2410,758000.0
1720,248500.0
2070,310000.0
1760,460000.0
1680,675000.0
1550,526000.0
4120,560000.0
1830,415000.0
1400,246000.0
1870,314500.0
6210,3200000.0
1040,420000.0
2720,535000.0
1010,350000.0
1580,515000.0
2600,749950.0
1920,230000.0
2350,568000.0
1100,250000.0
2510,581000.0
3240,651000.0
2460,600000.0
1010,500000.0
820,475000.0
2420,352000.0
1770,420000.0
1350,428000.0
1960,599000.0
3305,492000.0
2550,630000.0
4130,900000.0
2310,1110000.0
1650,575000.0
2650,705000.0
1890,940000.0
2190,313000.0
2030,618080.0
2270,640000.0
1610,485000.0
760,300000.0
1640,379500.0
1630,339950.0
3560,1500000.0
2960,1340000.0
1940,500000.0
1410,239900.0
1040,314950.0
820,361280.0
910,100000.0
3700,540000.0
2180,480500.0
1600,280000.0
1500,440000.0
1340,530000.0
1860,560000.0
2540,775000.0
1040,160000.0
1380,209950.0
1640,226500.0
3000,380000.0
2140,409500.0
1760,690000.0
1660,405000.0
1830,375000.0
2210,794154.0
1490,185000.0
1260,245000.0
4270,1532500.0
3900,1040000.0
1150,425000.0
2656,495000.0
2410,365000.0
1606,417250.0
820,339950.0
1540,615000.0
2090,403000.0
3160,980000.0
1730,258000.0
1670,533000.0
2550,537500.0
3040,830000.0
1250,712000.0
2020,262000.0
2660,753888.0
980,134000.0
1960,402000.0
720,205000.0
1360,553650.0
1870,559950.0
2130,260000.0
1810,270000.0
2200,295000.0
1690,719000.0
1940,266000.0
2320,325900.0
2060,647500.0
3410,1039000.0
2250,569000.0
1390,246000.0
1060,515000.0
1490,207000.0
2480,780000.0
2440,489990.0
2240,335000.0
1920,295000.0
1890,385000.0
2250,350000.0
1270,235000.0
960,358000.0
3290,716500.0
2000,228000.0
1020,405000.0
1840,538000.0
1980,530000.0
3510,1750000.0
1230,636000.0
2280,535000.0
2430,1500000.0
2920,868500.0
2280,530000.0
1510,450000.0
950,230000.0
1190,229000.0
1310,437000.0
2800,1307000.0
1750,595000.0
1320,660000.0
2460,347500.0
1240,297950.0
1260,245000.0
2820,543200.0
3820,1250000.0
1540,413450.0
1550,330000.0
1460,424500.0
1390,230000.0
2640,930000.0
1590,349000.0
1910,835000.0
2015,988500.0
1410,500000.0
1110,499000.0
860,321950.0
2310,494000.0
1020,441750.0
980,438000.0
4230,985000.0
1640,352000.0
3810,839900.0
2790,765000.0
1750,460000.0
1430,224500.0
1850,254000.0
960,255000.0
2480,610000.0
3750,920000.0
2600,402500.0
1390,280950.0
2260,604000.0
2470,565000.0
810,255000.0
1650,445000.0
3000,2400000.0
720,195000.0
1390,275000.0
1445,387000.0
1840,490000.0
2100,505000.0
1060,303500.0
1500,270000.0
1970,323000.0
1410,382000.0
3720,1370000.0
2190,280000.0
1920,260000.0
1160,201500.0
5860,1157200.0
2000,536500.0
2163,248000.0
3480,532000.0
2840,580000.0
1150,463000.0
3100,742500.0
1420,260000.0
2430,590000.0
1930,312000.0
1660,566000.0
1400,511555.0
2660,583000.0
2000,290000.0
2130,311100.0
1352,325000.0
1750,491300.0
2320,315000.0
1420,360000.0
1940,330000.0
1410,481450.0
1360,234950.0
1220,251000.0
2830,782000.0
3780,833000.0
2330,542500.0
3560,851000.0
1470,325000.0
3060,415000.0
1030,252500.0
1930,465000.0
1780,336900.0
2000,225000.0
1690,270000.0
5190,1702500.0
1300,536000.0
2400,585000.0
1150,445000.0
2310,320000.0
2730,769900.0
2840,557000.0
1020,212000.0
1340,376000.0
3540,800000.0
7270,2238888.0
998,324000.0
3060,549900.0
2130,320000.0
2520,875000.0
1940,265000.0
1350,394950.0
2160,842500.0
1370,368000.0
5420,1225000.0
2830,885000.0
2010,453246.0
3300,927000.0
1230,490000.0
1720,341000.0
810,235000.0
1560,1200000.0
2560,560000.0
4700,900000.0
1220,255000.0
3650,1575000.0
2170,876650.0
2540,540000.0
910,350000.0
2980,750000.0
2120,582000.0
3460,1315000.0
2480,372500.0
2200,410000.0
1730,360000.0
2920,1015000.0
990,225000.0
3040,647000.0
4530,950000.0
1370,185000.0
1940,335000.0
1040,210000.0
1800,522000.0
1720,770000.0
980,499950.0
3110,751000.0
2100,330000.0
2020,465000.0
2350,850000.0
3290,947500.0
2180,302000.0
1290,500000.0
1460,201000.0
1290,265000.0
2350,870300.0
1080,339000.0
2670,690000.0
3680,788000.0
1440,315275.0
1940,505000.0
1280,368000.0
2980,947500.0
970,156000.0
2110,610000.0
1480,420000.0
700,192000.0
2700,910000.0
2330,1300000.0
3380,1346400.0
2600,840000.0
1360,300000.0
2780,505000.0
1250,110000.0
2620,746000.0
1350,211000.0
2400,675000.0
2760,734200.0
3070,1225000.0
2040,615000.0
1770,630000.0
3490,1264000.0
830,301500.0
980,369000.0
1570,635000.0
3270,1033888.0
2160,383000.0
3280,1050000.0
3360,455000.0
3150,819900.0
1810,625000.0
2740,651000.0
3830,480000.0
3190,757000.0
2350,460000.0
2510,267345.0
1680,530000.0
1770,449500.0
1090,289000.0
3001,373000.0
2450,525000.0
3610,777000.0
2250,550000.0
1240,523000.0
2260,628000.0
2090,581000.0
2020,245000.0
1960,415000.0
3120,1895000.0
1250,225000.0
1490,287000.0
2890,799200.0
1900,239950.0
1680,591000.0
2030,700000.0
3740,475000.0
1580,575000.0
1780,771000.0
910,155000.0
3440,550000.0
1740,645000.0
3400,464000.0
4400,1050000.0
2010,350000.0
2710,591000.0
5300,2555000.0
1310,717000.0
1950,225000.0
1040,225000.0
1090,345000.0
650,230000.0
1480,385000.0
790,90000.0
3560,860000.0
3000,675000.0
3490,975000.0
2340,780000.0
1650,370000.0
1940,665000.0
3410,675000.0
1710,620000.0
2740,1105000.0
1250,450000.0
2450,450000.0
1690,530000.0
1950,635000.0
2290,580000.0
3370,1550000.0
1090,285000.0
1190,375000.0
3530,1400000.0
1440,560000.0
2180,405000.0
1410,413000.0
1950,287600.0
4860,1680000.0
1660,225000.0
1390,319000.0
1350,322500.0
1530,570000.0
1270,465000.0
2140,435000.0
2040,502000.0
2876,525000.0
1580,525000.0
3400,660000.0
3520,870000.0
2210,650000.0
2790,505000.0
1450,330000.0
1620,385000.0
1220,306000.0
2000,546000.0
2190,925000.0
1900,542000.0
1700,800000.0
2540,620000.0
1170,175000.0
5774,740000.0
2120,345000.0
2170,510000.0
2450,530000.0
700,155000.0
1780,266000.0
1850,257200.0
1570,265000.0
1290,372220.0
1700,337500.0
1159,582500.0
1850,489200.0
840,405100.0
1690,372977.0
1050,310000.0
1400,538000.0
2550,1400000.0
1840,317000.0
2360,702500.0
2240,565000.0
2700,723000.0
3030,766950.0
1830,682000.0
2220,325000.0
2090,543000.0
1600,525000.0
2010,364000.0
830,394475.0
2010,316000.0
1050,339950.0
2150,486000.0
860,160000.0
3100,930000.0
1100,139000.0
1830,562000.0
1250,299000.0
1820,511000.0
2090,499000.0
2100,356000.0
2310,470000.0
2060,715000.0
4470,1120000.0
1660,458000.0
3810,966000.0
2110,305495.0
2370,543000.0
1970,340000.0
2470,633100.0
1480,310000.0
2257,349950.0
700,267800.0
1630,234000.0
3430,740000.0
2220,607500.0
1340,223000.0
980,400000.0
2580,802000.0
2230,253000.0
2290,1058000.0
1260,300000.0
1680,625000.0
3200,707000.0
3320,950000.0
3040,420000.0
2270,498000.0
2910,450000.0
2510,955000.0
1240,215000.0
2580,437000.0
2470,773000.0
4910,1222500.0
1690,256883.0
2240,592500.0
1650,252350.0
2710,370000.0
1260,465750.0
1150,185000.0
2550,582800.0
1490,245000.0
2020,302000.0
1320,451555.0
1230,250000.0
2070,255000.0
2930,840000.0
1090,190000.0
1400,349950.0
1550,613000.0
1220,300000.0
1870,455000.0
2150,335000.0
980,197500.0
1490,412500.0
1120,395300.0
1180,342400.0
3240,749400.0
2150,316500.0
2240,390000.0
1400,225000.0
1980,550000.0
1330,280000.0
3200,1255000.0
1490,575000.0
3920,1000000.0
2000,585000.0
2680,620000.0
1670,204700.0
3150,695000.0
2740,689900.0
1890,375000.0
2870,475000.0
1160,215000.0
3550,2100000.0
1790,790000.0
1680,350000.0
4560,695000.0
1590,263000.0
1630,400000.0
2700,525000.0
1700,349950.0
3740,1085000.0
1980,744000.0
880,312500.0
1400,240000.0
2050,495000.0
2360,580050.0
2560,640000.0
1340,417000.0
1060,174950.0
850,295000.0
1880,423000.0
1230,839000.0
2290,343000.0
1660,467000.0
1840,512500.0
3020,575000.0
1410,465000.0
1010,270000.0
1960,340000.0
3580,765000.0
2240,497000.0
3310,803100.0
1232,344000.0
3930,828950.0
1720,386380.0
1490,312000.0
3150,720000.0
3950,914500.0
3030,819995.0
1070,252700.0
2320,437500.0
700,350000.0
2720,619000.0
1800,408200.0
1560,451000.0
1760,317000.0
3120,799000.0
2020,720000.0
1450,490000.0
1860,239900.0
2270,446000.0
1480,275000.0
1460,239950.0
1850,248000.0
2170,619500.0
1726,363750.0
1180,385000.0
1370,370000.0
2670,425000.0
1260,342000.0
1980,345000.0
2050,724800.0
2830,725000.0
910,605000.0
2440,350000.0
2180,785000.0
1900,250000.0
1520,565000.0
2220,875000.0
3280,862500.0
2740,400000.0
830,282613.0
1010,174500.0
2060,306500.0
1990,445000.0
2280,433000.0
1870,306000.0
1720,620000.0
870,245000.0
1020,238000.0
1260,523000.0
2370,522500.0
1000,180000.0
1100,375000.0
1440,249000.0
3120,730100.0
2260,551000.0
2790,375000.0
1140,540000.0
1290,605000.0
1730,205000.0
3160,645000.0
2340,314000.0
1170,330000.0
1160,490000.0
1970,445000.0
6490,2000000.0
1410,377500.0
2430,480000.0
3360,804995.0
1480,341000.0
3200,675000.0
2134,611000.0
1860,379950.0
5520,1270000.0
1310,500000.0
1700,410000.0
2480,415000.0
1970,297000.0
2060,575550.0
2130,534640.0
1410,352500.0
1360,488000.0
1940,732000.0
1610,215000.0
1420,592500.0
1700,290000.0
1490,475000.0
2680,320000.0
3190,1216000.0
2120,290000.0
1690,487250.0
1830,339000.0
1010,440000.0
2070,366500.0
1710,462000.0
1660,560000.0
2080,285000.0
1270,280000.0
1080,210000.0
1610,690000.0
1120,256500.0
2500,411000.0
970,215000.0
3370,762000.0
1290,359950.0
3370,480000.0
3410,1405000.0
2490,390000.0
770,413500.0
810,285000.0
3060,475000.0
1690,386591.0
1890,524950.0
1470,241000.0
1060,461000.0
3480,810000.0
2730,885000.0
1580,247000.0
2170,296500.0
930,141800.0
1580,333000.0
3290,602000.0
2110,565000.0
1670,373000.0
2030,588000.0
1500,485000.0
1450,482500.0
1310,251200.0
4180,869000.0
1630,464000.0
2660,755000.0
1720,280000.0
1260,485000.0
1610,305000.0
680,110700.0
2640,850000.0
1640,350000.0
2310,319950.0
2010,700000.0
1660,368000.0
2200,433500.0
2460,611000.0
2430,1000000.0
1370,307000.0
1800,442500.0
2200,485000.0
700,367000.0
1920,429000.0
2190,446000.0
2030,572500.0
1350,477000.0
1680,518000.0
1250,462000.0
2240,1190000.0
950,137000.0
2320,530000.0
2380,818000.0
1540,640000.0
2100,298450.0
2500,575000.0
3230,730000.0
2830,551000.0
870,271310.0
2690,675000.0
1260,479000.0
2680,520000.0
2660,599950.0
1480,483945.0
1770,390000.0
950,192500.0
860,330000.0
1960,250000.0
1770,243000.0
1280,575000.0
2150,639000.0
1790,710000.0
1990,675000.0
2430,405000.0
2820,615000.0
1910,490000.0
1270,467000.0
2050,480000.0
2150,755000.0
2450,760000.0
1230,387000.0
2260,925000.0
1050,415000.0
1570,263000.0
1820,519900.0
1540,570000.0
2060,450000.0
4380,1300000.0
1090,300000.0
1480,320000.0
1320,387500.0
2140,458000.0
4560,1212500.0
2800,380000.0
1050,200000.0
1490,385000.0
1730,396675.0
1210,452000.0
2800,426000.0
1570,792000.0
1400,315000.0
2850,1275000.0
1880,326000.0
790,268500.0
1300,440000.0
2120,300000.0
1540,525000.0
2620,978000.0
2880,1125000.0
1680,700000.0
790,315000.0
1092,309000.0
1650,219950.0
2090,289000.0
2180,210000.0
1990,260000.0
2650,699000.0
4460,1800000.0
910,299950.0
2770,749950.0
2390,1100000.0
3050,555000.0
1700,384000.0
3200,499950.0
1200,430000.0
2220,350000.0
2480,620000.0
2560,765000.0
2500,250000.0
1150,376000.0
1650,475000.0
1140,120750.0
3400,1690000.0
1180,330000.0
1700,619500.0
1240,345000.0
2890,598000.0
1060,335000.0
1590,372500.0
2860,300000.0
820,194000.0
2020,507500.0
1870,325000.0
2170,329900.0
1600,329000.0
2090,494000.0
1700,206000.0
1940,423000.0
1320,259000.0
3500,879950.0
2800,345600.0
1080,395000.0
3550,625000.0
2010,439000.0
1690,380000.0
1270,440000.0
1970,415000.0
3160,860000.0
1210,500000.0
3120,953007.0
2670,515000.0
1640,772000.0
2303,329995.0
1800,409316.0
4460,490000.0
1590,305000.0
3070,785000.0
1330,240000.0
990,325000.0
1900,535800.0
2020,720000.0
2000,374000.0
1100,189650.0
960,420850.0
3488,815000.0
1890,1065000.0
2030,199000.0
1380,195000.0
3660,1506000.0
1870,288400.0
2080,442000.0
2450,619420.0
2750,635000.0
1240,210000.0
1900,512500.0
2540,567000.0
2100,525000.0
1790,475000.0
1170,250000.0
1060,220000.0
1930,230000.0
1540,385500.0
2876,895000.0
2150,368250.0
1140,249900.0
980,350000.0
1230,175000.0
1390,270000.0
2380,495000.0
3690,1580000.0
3010,542500.0
1250,330000.0
2290,1003000.0
790,299800.0
2720,299900.0
2550,691000.0
1080,195000.0
2470,405000.0
850,360000.0
1990,256750.0
1800,332500.0
4850,975000.0
1020,218000.0
2420,429000.0
2910,589000.0
1060,255000.0
2340,668750.0
1800,344500.0
1660,452000.0
1300,540000.0
1780,246000.0
1030,535000.0
2790,970000.0
1150,430000.0
3290,520000.0
3400,712000.0
1200,450000.0
2160,220000.0
1450,525000.0
3240,1220000.0
1470,540000.0
2360,600000.0
2230,600000.0
2630,625000.0
1010,150000.0
1445,389999.0
2380,285000.0
2830,744000.0
3010,700000.0
2000,318989.0
2020,556000.0
2030,275000.0
2550,430000.0
970,300000.0
1540,396450.0
1396,225000.0
2780,700000.0
2220,260000.0
2350,655000.0
2760,1185000.0
4460,1550000.0
1440,413800.0
5330,950000.0
2220,334990.0
5305,2700000.0
3880,1030000.0
3810,1130000.0
1960,556000.0
1530,360000.0
3250,480000.0
1750,324000.0
3440,1050000.0
1170,275000.0
870,180000.0
2930,749000.0
3160,1600000.0
800,373500.0
2350,770000.0
1060,356000.0
2060,625000.0
1560,494400.0
3000,585000.0
1660,926300.0
1650,600000.0
3220,430000.0
2320,307000.0
2750,604700.0
910,219900.0
840,270000.0
1470,432000.0
2040,300000.0
1100,361000.0
940,249950.0
1110,320000.0
2200,305000.0
2860,503000.0
740,235750.0
2740,657000.0
1250,385000.0
3140,389950.0
820,150000.0
2570,254500.0
2350,555000.0
3600,1075000.0
1580,245000.0
1070,319950.0
1070,337000.0
1640,492000.0
2890,1170000.0
1220,348580.0
1400,180000.0
1040,400000.0
980,295000.0
3340,910000.0
6040,1150000.0
1900,431500.0
1740,180000.0
2000,677000.0
1610,1180500.0
3240,635700.0
2230,482000.0
1160,168000.0
2410,805000.0
590,398000.0
2600,665000.0
2170,592500.0
2080,940000.0
2860,655000.0
2980,622500.0
1230,380000.0
2260,648360.0
2200,432000.0
3030,1050000.0
1060,353250.0
4260,1000000.0
998,320000.0
2052,349900.0
3150,330000.0
1950,408000.0
1347,321000.0
3860,1051000.0
5060,2150000.0
1360,359000.0
2760,300000.0
2420,380000.0
2450,660000.0
1280,355000.0
1550,259000.0
550,353000.0
1520,430000.0
1670,460000.0
430,80000.0
2380,782000.0
960,218000.0
1920,325000.0
3680,980000.0
2530,902000.0
3840,556000.0
1240,662990.0
1300,225000.0
2380,439950.0
1300,175000.0
780,306000.0
1810,235000.0
2420,399500.0
1280,478000.0
1680,515000.0
2510,550000.0
1700,149000.0
1680,526000.0
820,527550.0
4380,1050000.0
2600,625000.0
3400,950000.0
2120,377691.0
2250,648475.0
1800,383000.0
2210,535000.0
1560,449950.0
2430,465425.0
2560,675000.0
1960,599000.0
1110,416000.0
1030,595000.0
1350,200000.0
1540,402000.0
1830,433000.0
1930,275000.0
1650,410000.0
3510,554820.0
3370,1325000.0
2390,735000.0
1230,607000.0
2830,549900.0
1620,258000.0
2290,661254.0
2840,945000.0
4220,799950.0
1080,132500.0
1620,467100.0
4390,1610000.0
1620,641000.0
1010,350000.0
1750,335000.0
4080,900000.0
2560,440000.0
1120,464600.0
4740,1200000.0
1340,300000.0
1590,670500.0
1430,552000.0
1450,244000.0
3500,788600.0
1630,445000.0
1814,530000.0
580,90000.0
1670,585000.0
1140,498000.0
800,379000.0
1300,462000.0
2440,388000.0
1490,255000.0
1800,665000.0
1830,550000.0
1500,606000.0
2210,334000.0
1270,360000.0
1140,235000.0
1620,580000.0
1220,355000.0
750,375000.0
1960,372000.0
1370,479000.0
4580,2000000.0
5584,1680000.0
1010,501000.0
1260,245000.0
1740,496700.0
2670,347000.0
720,199000.0
2460,440500.0
3670,820000.0
2630,325000.0
1570,195000.0
2980,675000.0
1560,295000.0
1620,355300.0
1140,276000.0
2730,460000.0
2130,880000.0
1780,370000.0
2100,346000.0
1140,172500.0
1690,379950.0
1160,468000.0
1720,477000.0
1210,529000.0
1255,312000.0
880,326100.0
1050,360000.0
1650,438000.0
1570,360000.0
2920,1050000.0
3000,688000.0
1850,585000.0
1440,265000.0
1440,375000.0
1810,326500.0
1180,160000.0
3070,1570000.0
3390,735000.0
1470,400000.0
2680,800000.0
2290,949880.0
1980,405000.0
2870,399000.0
1840,730001.0
4060,1795000.0
1630,260000.0
1880,751750.0
1780,325000.0
2330,344950.0
1840,457500.0
2330,389000.0
3200,515000.0
2330,732000.0
1950,415000.0
3080,1655000.0
1040,535000.0
1960,540000.0
2750,525000.0
1930,570000.0
4850,569950.0
1982,283200.0
2640,1100000.0
1850,830000.0
1940,495000.0
2840,292050.0
1900,415000.0
1410,295832.0
2520,450000.0
3160,1381000.0
3720,857000.0
1820,499950.0
1560,465000.0
1600,329000.0
1230,475000.0
960,255000.0
1270,435000.0
2810,685000.0
2160,715000.0
2520,780000.0
1180,345000.0
1810,355000.0
1680,282000.0
910,244000.0
3250,967500.0
2000,375000.0
3790,1600000.0
2310,527500.0
2510,994000.0
1320,313000.0
2370,587000.0
900,304000.0
2540,675000.0
2100,305000.0
1200,280000.0
3720,960000.0
1760,500000.0
1670,274950.0
2420,455600.0
3480,970000.0
1630,312900.0
2340,535000.0
920,427000.0
910,405000.0
1150,480000.0
2500,725000.0
3250,293000.0
1930,268000.0
3400,475000.0
1590,488000.0
3330,760000.0
4590,1710000.0
2610,754950.0
1658,263900.0
1600,460000.0
1296,399950.0
1280,370000.0
5940,1149000.0
2510,450800.0
2710,627000.0
1750,495000.0
1430,310000.0
1660,550000.0
1320,215000.0
2580,799000.0
2740,630000.0
2495,267000.0
2300,900000.0
1300,365000.0
2230,544500.0
2020,599000.0
2000,815000.0
1060,254000.0
2080,740000.0
2030,225000.0
2690,925000.0
3240,1285000.0
1550,537000.0
1480,335000.0
3040,840000.0
1560,224000.0
2250,395000.0
1100,450000.0
1700,681000.0
2680,898000.0
800,370000.0
1350,429000.0
820,150000.0
3160,555000.0
1720,326000.0
1680,225000.0
1300,245100.0
2190,665000.0
1720,535000.0
1160,305000.0
3150,999000.0
1210,215000.0
1980,432500.0
2990,655000.0
1430,266200.0
2060,244615.0
2230,460000.0
3090,370000.0
4250,465000.0
1970,1175000.0
1700,189000.0
2510,820000.0
3610,968000.0
2980,1400000.0
1610,438750.0
3650,1210000.0
2510,600000.0
1110,589000.0
1650,590000.0
1980,479900.0
880,210000.0
1490,745000.0
2520,840500.0
1820,420000.0
4140,565000.0
3420,840000.0
3150,681716.0
1580,600000.0
1660,380000.0
1100,168500.0
1270,355000.0
1450,277000.0
1830,236000.0
1300,270000.0
2320,700000.0
1680,425000.0
2300,635000.0
1400,510250.0
2410,960000.0
1480,254000.0
1390,299000.0
830,175000.0
740,157500.0
1940,580000.0
1340,124740.0
4440,1970000.0
800,285000.0
1310,242000.0
2330,840000.0
1400,474800.0
2360,490000.0
1840,465000.0
2680,515000.0
3890,430000.0
1400,253400.0
2400,355000.0
2920,740000.0
1390,186950.0
1680,306000.0
2040,510000.0
1080,345000.0
2280,875000.0
4490,700000.0
4700,1400000.0
2798,499950.0
2810,739000.0
3753,363000.0
3910,782000.0
1050,325000.0
1600,485000.0
2590,452000.0
1720,264950.0
4410,472000.0
1590,267500.0
2440,565000.0
1360,535000.0
910,389000.0
1390,400000.0
1470,264000.0
2920,690000.0
1950,412000.0
2390,695000.0
